surface,adsorbate,energy,equation
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5630175459781412,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5899550472794317,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5899550472794317,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5899550472794317,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5899550472794317,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5899550472794317,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5899550472794317,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5899550472794317,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5899550472794317,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5899550472794317,"H2O(g) - 0.5H2(g) + * -> OH*"
Ag,OH,0.5899550472794317,"H2O(g) - 0.5H2(g) + * -> OH*"
